City Name,Temperature (F),Humidity %,Cloud Coverage %,Wind Speed (mph),City Latitude,City Longitude,City Country,City Local Date_Time,Random_Latitude,Random_Longitude
Verkhnyaya Salda,-8.14,93,84,4.32,58.0456,60.5533,RU,"Thu, 11 Mar 2021 22:14:20",58.17,60.62
Inuvik,5.0,85,100,10.36,68.3499,-133.7218,CA,"Thu, 11 Mar 2021 10:14:20",67.99,-132.36
Hambantota,79.77,82,76,15.1,6.1241,81.1185,LK,"Thu, 11 Mar 2021 22:44:20",-5.94,86.93
Mehamn,21.2,73,0,32.21,71.0357,27.8492,NO,"Thu, 11 Mar 2021 18:14:21",77.93,26.8
Aleksinac,41.0,48,0,3.44,43.5417,21.7078,RS,"Thu, 11 Mar 2021 18:14:21",43.79,21.69
Nynäshamn,34.0,95,100,15.01,58.9034,17.9479,SE,"Thu, 11 Mar 2021 18:14:22",58.28,17.85
Geraldton,73.4,83,40,8.05,-28.7667,114.6,CA,"Fri, 12 Mar 2021 01:14:22",55.54,-88.04
Kurchum,23.59,94,74,2.01,48.5722,83.6542,KZ,"Thu, 11 Mar 2021 23:14:23",47.91,83.54
Luwuk,78.28,80,87,2.84,-0.9516,122.7875,ID,"Fri, 12 Mar 2021 01:14:23",-1.9,124.32
Thinadhoo,83.05,65,94,5.19,0.5333,72.9333,MV,"Thu, 11 Mar 2021 22:14:24",-0.89,64.2
Ostrovnoy,12.58,77,100,30.58,68.0531,39.5131,RU,"Thu, 11 Mar 2021 20:14:24",67.75,40.55
Shouguang,45.0,74,12,4.0,36.88,118.7375,CN,"Fri, 12 Mar 2021 01:14:24",37.29,118.94
Bayshore Gardens,78.8,47,20,13.8,27.4253,-82.5904,US,"Thu, 11 Mar 2021 12:14:25",26.16,-85.18
Blind River,46.4,66,1,24.16,46.1834,-82.9582,CA,"Thu, 11 Mar 2021 12:14:25",46.05,-82.84
Carballo,57.2,67,20,8.05,43.213,-8.691,ES,"Thu, 11 Mar 2021 18:14:25",45.3,-10.97
Château-Gontier,54.0,71,0,16.11,47.8333,-0.7,FR,"Thu, 11 Mar 2021 18:14:26",47.87,-0.65
Verkhnyaya Khava,12.2,57,0,4.47,51.8404,39.9413,RU,"Thu, 11 Mar 2021 20:14:26",52.05,40.13
Princeton,79.0,57,1,16.11,25.5384,-80.4089,CA,"Thu, 11 Mar 2021 12:14:27",49.3,-120.12
Port Lincoln,64.33,86,29,10.29,-34.7333,135.8667,AU,"Fri, 12 Mar 2021 03:44:27",-38.98,134.43
Barcelos,55.99,100,75,10.36,41.5388,-8.6151,BR,"Thu, 11 Mar 2021 17:14:27",1.34,-62.67
College,-2.0,59,90,17.27,64.8569,-147.8028,US,"Thu, 11 Mar 2021 08:11:38",67.19,-148.76
Great Bend,52.0,49,1,13.8,38.3645,-98.7648,US,"Thu, 11 Mar 2021 11:14:28",37.7,-98.88
Halmstad,45.0,93,90,14.97,56.6745,12.8568,SE,"Thu, 11 Mar 2021 18:14:28",56.56,12.83
Cimarron Hills,32.0,64,75,17.27,38.8586,-104.6989,US,"Thu, 11 Mar 2021 10:13:41",38.8,-103.88
Antofagasta,77.0,60,20,13.8,-23.65,-70.4,CL,"Thu, 11 Mar 2021 14:13:52",-24.08,-70.48
Vanimo,78.62,88,100,5.88,-2.6741,141.3028,PG,"Fri, 12 Mar 2021 03:14:29",4.56,142.74
Naze,63.88,80,76,18.84,28.3667,129.4833,JP,"Fri, 12 Mar 2021 02:14:29",20.45,138.48
Taoudenni,81.77,17,7,20.69,22.6783,-3.9836,ML,"Thu, 11 Mar 2021 17:14:30",23.66,-4.67
Darłowo,41.0,100,100,23.8,54.421,16.4107,PL,"Thu, 11 Mar 2021 18:14:30",54.26,16.51
Alpena,60.8,29,1,24.16,45.0617,-83.4327,US,"Thu, 11 Mar 2021 12:13:33",44.88,-82.79
Challans,53.6,62,0,18.41,46.8436,-1.8749,FR,"Thu, 11 Mar 2021 18:14:31",45.59,-2.95
Manokwari,78.22,82,99,1.99,-0.8667,134.0833,ID,"Fri, 12 Mar 2021 02:14:31",1.68,134.66
Banfora,102.11,11,14,4.38,10.6333,-4.7667,BF,"Thu, 11 Mar 2021 17:14:31",10.2,-4.99
Kopavogur,32.0,86,40,18.41,64.1123,-21.913,IS,"Thu, 11 Mar 2021 17:11:19",64.18,-21.63
Road Town,82.4,61,40,9.22,18.4167,-64.6167,VG,"Thu, 11 Mar 2021 13:12:28",20.88,-64.56
Perth,72.0,83,75,8.05,-31.9333,115.8333,AU,"Fri, 12 Mar 2021 01:11:50",-30.63,115.64
Lovozero,1.6,85,61,6.44,68.005,35.0117,RU,"Thu, 11 Mar 2021 20:14:32",67.41,36.29
Jaraguá,80.6,54,75,6.91,-15.7569,-49.3344,BR,"Thu, 11 Mar 2021 14:11:02",-15.87,-49.32
Hammerfest,24.8,63,0,11.5,70.6634,23.6821,NO,"Thu, 11 Mar 2021 18:14:33",74.82,21.76
Solone,23.0,68,0,11.18,48.2081,34.8721,UA,"Thu, 11 Mar 2021 19:14:33",48.36,34.72
São Filipe,71.28,69,99,9.13,14.8961,-24.4956,CV,"Thu, 11 Mar 2021 16:14:34",10.04,-35.65
Kieta,79.38,84,98,3.29,-6.2167,155.6333,PG,"Fri, 12 Mar 2021 04:14:34",-1.83,159.75
Dzilam González,85.73,49,0,8.25,21.2833,-88.9333,MX,"Thu, 11 Mar 2021 11:14:34",23.71,-88.62
Lompoc,46.0,87,20,4.61,34.6391,-120.4579,US,"Thu, 11 Mar 2021 09:11:06",23.7,-129.3
Gogrial,94.44,20,58,4.38,8.5332,28.1004,SD,"Thu, 11 Mar 2021 19:14:35",8.29,27.76
Gazli,50.97,32,23,12.41,40.1333,63.45,UZ,"Thu, 11 Mar 2021 22:14:35",40.85,63.83
Gao,94.03,9,45,9.6,16.6362,1.637,ML,"Thu, 11 Mar 2021 17:14:36",17.74,-0.68
San Patricio,78.8,65,90,24.16,28.017,-97.5169,MX,"Thu, 11 Mar 2021 11:14:36",15.45,-106.47
Valle Hermoso,80.6,78,75,18.41,25.6667,-97.8333,MX,"Thu, 11 Mar 2021 11:14:37",25.46,-97.5
Baykit,18.57,90,96,10.33,61.67,96.37,RU,"Fri, 12 Mar 2021 00:14:37",65.83,94.41
Itarema,86.63,66,77,14.74,-2.9248,-39.9167,BR,"Thu, 11 Mar 2021 14:14:37",8.66,-36.22
São João da Barra,87.8,58,75,11.5,-21.6403,-41.0511,BR,"Thu, 11 Mar 2021 14:14:38",-32.61,-22.34
Preston,44.6,76,20,32.21,53.7667,-2.7167,US,"Thu, 11 Mar 2021 17:14:38",42.14,-112.01
Half Moon Bay,48.2,81,90,8.05,37.4636,-122.4286,US,"Thu, 11 Mar 2021 09:14:39",32.38,-134.74
Tongchuanshi,46.94,71,0,0.98,35.0806,109.0897,CN,"Fri, 12 Mar 2021 01:11:28",35.08,108.17
Arrondissement de Nogent-le-Rotrou,46.4,87,75,14.97,48.3333,1.0,FR,"Thu, 11 Mar 2021 18:14:40",48.37,0.92
Laas,51.8,75,20,10.36,46.6166,10.7002,CN,"Thu, 11 Mar 2021 18:14:40",31.28,87.66
Tongliao,34.3,61,78,4.76,43.6125,122.2653,CN,"Fri, 12 Mar 2021 01:14:41",43.08,122.76
Kenai,15.8,67,90,3.44,60.5544,-151.2583,US,"Thu, 11 Mar 2021 08:11:15",64.25,-155.49
Adrar,80.1,8,0,21.59,20.5022,-10.0711,DZ,"Thu, 11 Mar 2021 17:14:41",26.74,-2.47
Nizhniy Baskunchak,13.53,47,1,11.54,48.2198,46.8311,RU,"Thu, 11 Mar 2021 21:14:42",48.41,46.92
Mayna,2.46,96,96,7.72,54.1135,47.6231,RU,"Thu, 11 Mar 2021 21:14:42",52.49,91.93
Ardakān,69.8,17,75,6.91,32.31,54.0175,IR,"Thu, 11 Mar 2021 20:44:42",33.3,55.1
Oddur,85.23,25,0,11.48,4.1213,43.8894,SO,"Thu, 11 Mar 2021 20:14:43",6.31,43.63
Grindavik,30.2,80,75,33.38,63.8424,-22.4338,IS,"Thu, 11 Mar 2021 17:14:43",54.51,-23.99
Russell,73.4,38,1,8.05,32.3502,-85.1999,NZ,"Thu, 11 Mar 2021 11:14:43",-33.58,175.88
Kamenka,-1.82,92,2,5.88,51.3223,42.7678,RU,"Thu, 11 Mar 2021 20:14:44",69.72,43.46
Saint George,44.01,65,40,4.61,37.1041,-113.5841,BM,"Thu, 11 Mar 2021 10:14:44",35.57,-65.51
Ribeira Grande,62.6,72,75,12.66,38.5167,-28.7,PT,"Thu, 11 Mar 2021 16:14:44",40.16,-30.71
Arraial do Cabo,86.0,69,20,12.66,-22.9661,-42.0278,BR,"Thu, 11 Mar 2021 14:14:45",-57.34,-17.24
Maumere,78.96,83,92,2.91,-8.6199,122.2111,ID,"Fri, 12 Mar 2021 01:13:20",-9.67,122.32
Verkhnyaya Inta,4.37,94,100,19.93,65.9811,60.3094,RU,"Thu, 11 Mar 2021 20:14:45",64.39,62.18
Aasiaat,13.57,92,100,5.19,68.7098,-52.8699,GL,"Thu, 11 Mar 2021 14:14:46",71.42,-53.02
Novoil'insk,22.69,89,0,3.56,51.6829,108.7143,RU,"Fri, 12 Mar 2021 01:14:46",51.55,108.75
Kondinskoye,-7.73,95,100,10.87,59.6481,67.41,RU,"Thu, 11 Mar 2021 22:14:46",60.33,67.08
Lufilufi,81.39,73,100,5.86,-13.8745,-171.5986,WS,"Fri, 12 Mar 2021 07:14:47",-6.58,-167.69
Strezhevoy,1.4,78,90,11.18,60.7333,77.5889,RU,"Fri, 12 Mar 2021 00:14:15",62.18,79.88
Vila,52.0,95,100,3.96,42.0304,-8.1588,VU,"Thu, 11 Mar 2021 17:14:47",-15.17,172.4
Senneterre,55.4,76,40,19.57,48.3835,-77.2328,CA,"Thu, 11 Mar 2021 12:14:48",48.59,-75.87
Kuandian,40.71,78,100,1.99,40.7286,124.7847,CN,"Fri, 12 Mar 2021 01:14:48",40.47,124.7
Hollister,46.99,87,1,4.61,36.8525,-121.4016,US,"Thu, 11 Mar 2021 09:14:49",36.8,-121.23
Måløy,46.4,70,75,25.32,61.9353,5.1136,NO,"Thu, 11 Mar 2021 18:14:49",62.83,2.23
Beauceville,57.2,38,94,3.44,46.2179,-70.7787,CA,"Thu, 11 Mar 2021 12:14:49",46.17,-70.76
Talnakh,-29.18,95,57,5.86,69.4865,88.3972,RU,"Fri, 12 Mar 2021 00:14:50",74.36,93.68
Bud,60.01,94,75,8.05,39.447,-86.1758,NO,"Thu, 11 Mar 2021 12:14:50",72.33,2.47
West Melbourne,75.99,53,20,14.97,28.0717,-80.6534,US,"Thu, 11 Mar 2021 12:14:50",27.96,-80.73
Omboué,78.78,87,100,6.51,-1.5746,9.2618,GA,"Thu, 11 Mar 2021 18:14:51",-4.99,3.16
Sakakah,82.4,11,0,9.22,29.9697,40.2064,SA,"Thu, 11 Mar 2021 20:12:03",28.13,40.27
Dhanera,72.61,38,0,4.92,24.5167,72.0167,IN,"Thu, 11 Mar 2021 22:44:51",24.47,71.83
Ternate,81.03,81,24,5.88,0.8,127.4,ID,"Fri, 12 Mar 2021 02:14:52",1.46,126.55
Iporá,79.48,76,49,5.64,-16.4419,-51.1178,BR,"Thu, 11 Mar 2021 14:14:52",-15.98,-51.22
Praia da Vitória,60.8,63,90,11.27,38.7333,-27.0667,PT,"Thu, 11 Mar 2021 16:14:52",50.64,-22.83
Corinth,48.2,66,40,11.5,37.9407,22.9573,US,"Thu, 11 Mar 2021 19:14:53",35.06,-88.63
Amapá,81.1,78,100,5.75,1.0,-52.0,BR,"Thu, 11 Mar 2021 14:14:53",3.6,-47.35
Balkanabat,56.17,47,100,7.7,39.5108,54.3671,TM,"Thu, 11 Mar 2021 22:14:54",40.14,53.87
Parrita,81.0,53,0,20.71,9.5201,-84.3225,CR,"Thu, 11 Mar 2021 11:14:54",7.59,-85.76
Salinópolis,82.4,75,91,3.91,-0.6136,-47.3561,BR,"Thu, 11 Mar 2021 14:14:54",7.95,-43.14
Shiyan,52.18,76,1,1.97,32.6475,110.7781,CN,"Fri, 12 Mar 2021 01:14:55",32.1,110.71
Kruisfontein,64.99,86,56,7.0,-34.0033,24.7314,ZA,"Thu, 11 Mar 2021 19:14:55",-72.94,26.83
Yeppoon,73.4,83,90,5.75,-23.1333,150.7333,AU,"Fri, 12 Mar 2021 03:14:55",-21.89,150.45
Cestas,54.0,87,75,14.97,44.7435,-0.6791,FR,"Thu, 11 Mar 2021 18:14:56",44.49,-0.64
Ayagoz,17.89,97,46,10.58,47.9714,80.4392,KZ,"Thu, 11 Mar 2021 23:14:56",48.01,81.19
Aitape,77.99,86,100,3.06,-3.1374,142.3475,PG,"Fri, 12 Mar 2021 03:14:57",-0.88,143.73
Homer,21.2,58,90,12.66,59.6425,-151.5483,US,"Thu, 11 Mar 2021 08:14:57",58.74,-150.61
Nouadhibou,82.4,26,61,14.97,20.931,-17.0347,MR,"Thu, 11 Mar 2021 17:14:57",20.18,-20.44
Orange,54.0,58,40,3.83,33.7,-117.7675,AU,"Thu, 11 Mar 2021 09:14:58",-33.24,148.99
Gold Coast,70.0,94,63,1.14,-28.0,153.4333,AU,"Fri, 12 Mar 2021 03:10:13",-27.75,154.06
Antalaha,78.62,84,59,8.32,-14.9003,50.2788,MG,"Thu, 11 Mar 2021 20:14:58",-13.75,55.75
Anchorage,15.8,41,90,10.36,61.2181,-149.9003,US,"Thu, 11 Mar 2021 08:13:53",63.73,-151.79
Aklavik,1.4,85,90,28.77,68.2191,-135.0107,CA,"Thu, 11 Mar 2021 10:14:59",74.18,-137.49
Sun Valley,34.0,55,75,4.52,39.5963,-119.776,US,"Thu, 11 Mar 2021 09:14:59",39.85,-119.72
Korampallam,82.35,75,0,15.41,8.7667,78.1,IN,"Thu, 11 Mar 2021 22:45:00",8.72,78.46
Fairbanks,-2.0,65,40,21.85,64.8378,-147.7164,US,"Thu, 11 Mar 2021 08:12:24",64.21,-147.84
Lavrentiya,-14.17,69,0,6.62,65.5833,-171.0,RU,"Fri, 12 Mar 2021 05:15:00",66.35,-168.58
Sucha Beskidzka,37.4,75,75,2.3,49.7419,19.5943,PL,"Thu, 11 Mar 2021 18:15:00",49.86,19.62
Puerto Cabezas,84.2,84,75,4.61,14.0351,-83.3888,NI,"Thu, 11 Mar 2021 11:15:01",13.97,-82.1
Tawang Town,39.52,92,88,1.05,27.5833,91.8667,IN,"Thu, 11 Mar 2021 22:45:01",28.28,92.05
Pacific Grove,50.0,71,75,6.38,36.6177,-121.9166,US,"Thu, 11 Mar 2021 09:15:02",31.29,-131.4
Norman Wells,6.8,85,90,14.97,65.282,-126.8329,CA,"Thu, 11 Mar 2021 10:15:04",68.9,-125.11
Kavieng,81.68,68,100,5.95,-2.5744,150.7967,PG,"Fri, 12 Mar 2021 03:15:04",13.94,153.34
Shubarkuduk,-6.27,99,96,7.52,49.1447,56.4872,KZ,"Thu, 11 Mar 2021 22:15:05",47.9,55.95
Atar,86.45,9,60,22.46,20.5169,-13.0499,MR,"Thu, 11 Mar 2021 17:15:05",21.87,-9.76
Harper,82.78,79,100,9.26,4.375,-7.7169,LR,"Thu, 11 Mar 2021 17:15:05",2.54,-7.77
Paramirim,88.95,42,20,4.97,-13.4425,-42.2389,BR,"Thu, 11 Mar 2021 14:15:06",-13.05,-42.0
Bilma,90.88,6,82,6.33,18.6853,12.9164,NE,"Thu, 11 Mar 2021 18:15:06",21.3,14.01
Saint-Tite,42.8,70,98,5.75,46.7334,-72.5658,CA,"Thu, 11 Mar 2021 12:15:06",46.8,-72.65
Stephenville,71.6,60,90,13.8,32.2207,-98.2023,CA,"Thu, 11 Mar 2021 11:15:07",49.12,-59.18
Vila Velha,86.0,74,20,10.36,-20.3297,-40.2925,BR,"Thu, 11 Mar 2021 14:15:07",-25.31,-27.41
Rantepao,65.98,94,84,2.75,-2.9701,119.8978,ID,"Fri, 12 Mar 2021 01:15:07",-2.65,120.37
Quzhou,53.78,97,65,3.27,28.9594,118.8686,CN,"Fri, 12 Mar 2021 01:15:08",28.39,118.92
Salalah,78.8,69,0,3.44,17.0151,54.0924,OM,"Thu, 11 Mar 2021 21:15:08",19.74,52.44
Neiafu,68.0,94,20,12.95,-18.65,-173.9833,TO,"Fri, 12 Mar 2021 06:15:08",-17.99,-173.88
Avera,72.0,46,40,10.36,33.194,-82.5271,PF,"Thu, 11 Mar 2021 12:15:09",-33.21,-157.0
Bubaque,80.98,53,65,12.53,11.2833,-15.8333,GW,"Thu, 11 Mar 2021 17:15:09",4.62,-20.74
Port Said,64.4,82,0,18.41,31.2565,32.2841,EG,"Thu, 11 Mar 2021 19:15:09",31.69,32.92
Presidencia Roque Sáenz Peña,93.99,29,2,4.0,-26.7852,-60.4388,AR,"Thu, 11 Mar 2021 14:15:10",-26.03,-61.06
Arkhara,10.92,96,1,0.72,49.4212,130.0842,RU,"Fri, 12 Mar 2021 02:15:10",49.67,130.65
Makkah al Mukarramah,84.29,32,0,5.21,21.4267,39.8261,SA,"Thu, 11 Mar 2021 20:15:10",22.59,42.09
Udachny,-18.15,89,46,4.5,66.4167,112.4,RU,"Fri, 12 Mar 2021 02:15:11",66.5,114.96
Buala,78.69,84,92,6.71,-8.145,159.5921,SB,"Fri, 12 Mar 2021 04:15:11",-2.1,163.7
Rameswaram,82.17,77,0,18.81,9.2833,79.3,IN,"Thu, 11 Mar 2021 22:45:12",8.8,79.8
Mbuji-Mayi,79.14,69,56,3.89,-6.15,23.6,CD,"Thu, 11 Mar 2021 19:15:12",-6.32,23.32
Khani,44.6,81,90,17.27,41.9563,42.9566,RU,"Thu, 11 Mar 2021 21:15:12",59.93,119.85
Alice Springs,77.0,83,100,3.44,-23.7,133.8833,AU,"Fri, 12 Mar 2021 02:42:08",-21.47,131.95
San Miguel de Cozumel,81.0,65,40,11.5,20.5083,-86.9458,MX,"Thu, 11 Mar 2021 12:12:25",19.96,-85.09
Pingliang,44.26,75,0,3.56,35.5392,106.6861,CN,"Fri, 12 Mar 2021 01:15:13",35.79,106.62
Jizan,82.4,74,0,3.44,17.3333,42.6667,SA,"Thu, 11 Mar 2021 20:15:14",16.32,41.61
Coacoyul,86.09,29,0,3.15,17.8058,-99.11,MX,"Thu, 11 Mar 2021 11:15:14",17.68,-101.44
Kalmunai,79.88,80,80,8.16,7.4167,81.8167,LK,"Thu, 11 Mar 2021 22:45:14",6.43,88.47
Yola,101.57,15,97,4.43,9.2,12.4833,NG,"Thu, 11 Mar 2021 18:15:15",9.12,12.51
Along,60.71,80,14,2.21,28.1667,94.7667,IN,"Thu, 11 Mar 2021 22:45:15",33.86,95.53
Ayní,33.75,71,22,9.35,39.3941,68.5377,TJ,"Thu, 11 Mar 2021 22:15:15",39.32,68.61
Bandarbeyla,78.28,73,0,10.83,9.4942,50.8122,SO,"Thu, 11 Mar 2021 20:15:16",8.05,55.99
Okha,7.09,84,2,14.36,53.5739,142.9478,RU,"Fri, 12 Mar 2021 04:15:16",55.57,146.31
Balaipungut,77.0,83,40,3.4,1.05,101.2833,ID,"Fri, 12 Mar 2021 00:15:17",0.47,101.49
Kostanay,6.8,78,75,13.42,53.1667,63.5833,KZ,"Thu, 11 Mar 2021 23:15:17",53.12,64.27
Paamiut,20.12,76,100,13.0,61.994,-49.6678,GL,"Thu, 11 Mar 2021 14:15:18",63.66,-48.86
Mossendjo,75.85,95,87,2.82,-2.9506,12.7261,CG,"Thu, 11 Mar 2021 18:15:18",-2.76,13.56
Vilhena,75.2,88,75,8.05,-12.7406,-60.1458,BR,"Thu, 11 Mar 2021 13:10:21",-13.49,-60.29
Saint Paul Harbor,19.4,42,1,39.12,57.79,-152.4072,US,"Thu, 11 Mar 2021 08:15:19",58.31,-156.84
Pierre,42.01,80,1,10.36,44.3683,-100.351,US,"Thu, 11 Mar 2021 11:15:00",43.28,-101.53
Chimoré,94.91,35,3,4.88,-16.9833,-65.1333,BO,"Thu, 11 Mar 2021 13:15:19",-16.31,-64.31
Pontes e Lacerda,91.72,48,91,2.42,-15.2261,-59.3353,BR,"Thu, 11 Mar 2021 13:15:20",-15.36,-58.69
Mossamedes,75.9,73,45,10.54,-15.1961,12.1522,AO,"Thu, 11 Mar 2021 18:15:20",-17.97,7.5
Maputo,87.01,79,40,12.66,-25.9653,32.5892,MZ,"Thu, 11 Mar 2021 19:12:46",-26.17,33.49
Abu Dhabi,78.8,53,0,11.23,24.4667,54.3667,AE,"Thu, 11 Mar 2021 21:12:20",24.66,54.11
Ust'-Ishim,5.23,97,95,2.66,57.6935,71.1665,RU,"Thu, 11 Mar 2021 23:15:21",58.85,70.64
Gonzales,79.0,53,75,10.36,30.2385,-90.9201,US,"Thu, 11 Mar 2021 11:13:20",36.65,-121.43
Norwich,50.0,53,20,19.57,52.6278,1.2983,GB,"Thu, 11 Mar 2021 17:15:21",53.06,1.48
Sur,78.24,40,1,6.64,22.5667,59.5289,OM,"Thu, 11 Mar 2021 21:15:22",19.78,62.84
Chifeng,32.7,96,88,4.38,42.2683,118.9636,CN,"Fri, 12 Mar 2021 01:15:22",44.1,119.06
Bushehr,69.8,73,75,4.61,28.9684,50.8385,IR,"Thu, 11 Mar 2021 20:45:22",29.39,50.61
Puttūr,82.4,74,75,2.21,12.7667,75.2167,IN,"Thu, 11 Mar 2021 22:45:23",13.51,79.55
Bariloche,63.0,58,40,28.77,-41.1456,-71.3082,AR,"Thu, 11 Mar 2021 14:10:36",-41.02,-70.61
Sambava,79.16,85,6,7.0,-14.2667,50.1667,MG,"Thu, 11 Mar 2021 20:15:23",-12.86,53.27
Rincon,75.2,43,40,12.66,32.296,-81.2354,AN,"Thu, 11 Mar 2021 12:15:24",13.28,-67.58
Sorong,76.71,90,100,4.47,-0.8833,131.25,ID,"Fri, 12 Mar 2021 02:15:24",0.85,130.02
Matagami,41.0,100,90,12.66,49.7502,-77.6328,CA,"Thu, 11 Mar 2021 12:15:24",50.36,-79.07
Ganzhou,54.61,91,81,2.13,28.8184,115.4327,CN,"Fri, 12 Mar 2021 01:15:25",25.75,114.7
Flinders,71.01,92,94,4.0,-34.5833,150.8552,AU,"Fri, 12 Mar 2021 04:15:25",-28.8,134.29
Iranshahr,75.2,23,0,4.61,27.2025,60.6848,IR,"Thu, 11 Mar 2021 20:45:25",26.65,59.91
Escalerillas,69.8,28,20,2.84,22.1333,-101.0667,MX,"Thu, 11 Mar 2021 11:15:26",22.09,-101.09
Saurimo,72.54,80,27,3.49,-9.6608,20.3916,AO,"Thu, 11 Mar 2021 18:15:26",-9.08,19.49
Visakhapatnam,78.8,83,1,2.3,17.69,83.2093,IN,"Thu, 11 Mar 2021 22:45:27",17.17,84.08
Hasaki,50.0,81,75,4.61,35.7333,140.8333,JP,"Fri, 12 Mar 2021 02:15:27",30.87,151.71
San Cristobal,82.4,61,40,11.5,7.7669,-72.225,EC,"Thu, 11 Mar 2021 13:15:28",-2.67,-87.69
Novaya Bryan’,19.4,79,0,4.47,51.7159,108.2691,RU,"Fri, 12 Mar 2021 01:15:28",51.59,107.93
Ballina,68.0,94,75,3.38,-28.8667,153.5667,AU,"Fri, 12 Mar 2021 04:15:28",-30.08,155.83
Codrington,55.11,90,25,6.02,-38.2667,141.9667,AG,"Fri, 12 Mar 2021 04:15:29",26.53,-51.9
Prince Rupert,39.2,93,90,11.5,54.3161,-130.3201,CA,"Thu, 11 Mar 2021 09:15:29",51.91,-131.4
Carutapera,85.17,69,80,5.48,-1.195,-46.02,BR,"Thu, 11 Mar 2021 14:15:29",0.74,-45.51
Huarmey,79.54,65,23,10.09,-10.0681,-78.1522,PE,"Thu, 11 Mar 2021 12:15:30",-14.99,-86.75
Usinsk,7.84,91,100,10.98,65.9939,57.5281,RU,"Thu, 11 Mar 2021 20:15:30",69.15,57.81
Iraquara,90.28,32,1,8.61,-12.2486,-41.6194,BR,"Thu, 11 Mar 2021 14:15:30",-12.24,-41.46
Beloha,78.98,65,82,6.73,-25.1667,45.05,MG,"Thu, 11 Mar 2021 20:15:31",-25.68,44.41
Hwange,73.62,55,20,2.13,-18.3693,26.5019,ZW,"Thu, 11 Mar 2021 19:15:31",-18.71,27.15
Portland,44.01,75,20,1.99,45.5234,-122.6762,AU,"Thu, 11 Mar 2021 09:15:00",-45.6,139.94
Kutum,79.43,10,64,7.16,14.2,24.6667,SD,"Thu, 11 Mar 2021 19:15:32",14.47,24.18
Port Hardy,41.0,87,40,2.3,50.6996,-127.4199,CA,"Thu, 11 Mar 2021 09:15:32",46.16,-133.15
Richards Bay,76.91,82,72,15.19,-28.783,32.0377,ZA,"Thu, 11 Mar 2021 19:14:32",-30.95,34.6
Kaoma,69.03,89,36,4.56,-14.7833,24.8,ZM,"Thu, 11 Mar 2021 19:15:33",-16.02,25.17
Santa Helena,88.77,64,100,3.04,-2.2311,-45.3,CO,"Thu, 11 Mar 2021 14:15:33",6.5,-73.6
Sistranda,39.2,56,0,34.52,63.7256,8.834,NO,"Thu, 11 Mar 2021 18:15:33",71.92,4.35
Carauari,80.78,76,98,1.9,-4.8828,-66.8958,BR,"Thu, 11 Mar 2021 13:15:34",-6.15,-67.04
Guerrero Negro,60.76,50,70,14.29,27.9769,-114.0611,MX,"Thu, 11 Mar 2021 10:15:34",25.25,-118.01
Zhangjiakou Shi Xuanhua Qu,47.37,77,84,6.58,40.6103,115.0447,CN,"Fri, 12 Mar 2021 01:13:10",39.7,114.41
Khandyga,-2.0,98,100,3.27,62.6667,135.6,RU,"Fri, 12 Mar 2021 02:15:35",64.55,137.36
Griffith,55.99,54,1,17.27,41.5284,-87.4237,AU,"Thu, 11 Mar 2021 11:15:35",-34.16,145.82
Yanta,42.28,91,16,5.48,36.2411,115.6672,CN,"Fri, 12 Mar 2021 01:15:35",36.48,115.26
Souillac,80.6,78,75,12.66,-20.5167,57.5167,MU,"Thu, 11 Mar 2021 21:15:36",-35.81,64.53
Xiaoweizhai,55.31,96,98,2.21,26.1903,107.5125,CN,"Fri, 12 Mar 2021 01:15:36",25.64,106.9
Asău,30.0,56,73,3.11,46.4333,26.4,TV,"Thu, 11 Mar 2021 19:15:36",-12.18,178.25
Sharan,1.71,97,100,7.67,54.8167,54.0,RU,"Thu, 11 Mar 2021 22:15:37",54.78,54.01
Taltal,72.0,74,16,7.43,-25.4,-70.4833,CL,"Thu, 11 Mar 2021 14:15:37",-26.03,-74.25
Dorado,84.0,65,40,33.55,18.4588,-66.2677,US,"Thu, 11 Mar 2021 13:15:38",20.49,-66.35
Ust-Kuyga,-12.05,83,100,5.06,70.0167,135.6,RU,"Fri, 12 Mar 2021 03:15:38",70.69,133.45
Kiama,71.01,89,96,3.0,-34.6833,150.8667,AU,"Fri, 12 Mar 2021 04:15:38",-36.42,153.93
Kati,95.0,10,0,8.05,12.7441,-8.0726,ML,"Thu, 11 Mar 2021 17:15:39",13.15,-8.25
Santa Rosalía,61.03,38,76,5.99,27.3167,-112.2833,MX,"Thu, 11 Mar 2021 10:15:39",18.11,-93.73
Heihe,15.8,73,0,2.24,50.2441,127.4902,CN,"Fri, 12 Mar 2021 01:15:39",50.05,126.75
Talaya,-12.73,84,88,0.56,61.3833,152.75,RU,"Fri, 12 Mar 2021 04:15:40",60.07,154.52
Nieuwpoort,48.99,66,75,31.07,51.1244,2.7735,AN,"Thu, 11 Mar 2021 18:15:40",11.93,-68.74
Mosquera,66.2,52,40,6.91,4.7059,-74.2302,CO,"Thu, 11 Mar 2021 12:15:40",2.58,-78.69
Vyazovaya,-4.29,98,100,6.15,54.905,58.3561,RU,"Thu, 11 Mar 2021 22:15:41",54.95,58.39
Poplar Bluff,68.0,73,90,19.57,36.757,-90.3929,US,"Thu, 11 Mar 2021 11:15:41",36.99,-90.02
